#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Country,Sampling Year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
20,669,11535,DQ168576,01NGPL0669,PLV,HIV-1,M,G,NIGERIA,2001,796,9603,8837,HIV-1
21,760,11537,DQ168579,01NGPL0760,PLV,HIV-1,M,G,NIGERIA,2001,796,9603,8906,HIV-1
22,P0962_ARP1077,32944,EU786670,P962,PLV,HIV-1,M,G,SPAIN,2005,561,9509,9041,HIV-1
23,178_15,31783,FJ389363,178_15,PLV,HIV-1,M,G,CAMEROON,2004,485,9531,9096,HIV-1
24,314_40,31782,FJ389364,314_40,PLV,HIV-1,M,G,CAMEROON,2004,502,9531,9004,HIV-1
25,515_28,31784,FJ389365,515_28,PLV,HIV-1,M,G,CAMEROON,2004,502,9531,9110,HIV-1
26,944_5,31785,FJ389366,944_5,PLV,HIV-1,M,G,CAMEROON,2004,511,9531,9059,HIV-1
27,A1786,31786,FJ389367,A1786,PLV,HIV-1,M,G,CAMEROON,2001,485,9517,9106,HIV-1
28,X1628,35974,FJ670520,X1628-2,PLV,HIV-1,M,G,SPAIN,2005,550,9509,9018,HIV-1
29,1981,34065,FJ670530,P1981-2,PLV,HIV-1,M,G,SPAIN,2008,552,9507,8982,HIV-1
30,PT3037,3562,FR846408,PT3037,PLV,HIV-1,M,G,PORTUGAL,,85,9641,9649,HIV-1
31,PT3306,2433,FR846409,PT3306,PLV,HIV-1,M,G,PORTUGAL,,85,9537,9566,HIV-1
32,PT988i,22644,FR846410,PT988,PLV,HIV-1,M,G,PORTUGAL,,85,9537,9448,HIV-1
33,X2634_ARP1110,37139,GU362882,X2634_2,PLV,HIV-1,M,G,SPAIN,2009,544,9489,9007,HIV-1
34,,,HM067749,sh52,PLV,HIV-1,M,G,CHINA,2006,40,9031,9065,HIV-1
35,,,JN106043,GX_2084_08,PLV,HIV-1,M,G,CHINA,2008,763,9613,8895,HIV-1
36,SC13,44225,JN248582,08NG_SC13,PLV,HIV-1,M,G,NIGERIA,2008,794,9604,8842,HIV-1
37,SC21,44203,JN248584,09NG_SC21,PLV,HIV-1,M,G,NIGERIA,2009,794,9604,8875,HIV-1
38,SC26,44233,JN248586,09NG_SC26,PLV,HIV-1,M,G,NIGERIA,2009,794,9605,8876,HIV-1
39,SC31,44240,JN248591,09NG_SC31,PLV,HIV-1,M,G,NIGERIA,2009,794,9604,8837,HIV-1
40,SC62,44221,JN248593,09NG_SC62,PLV,HIV-1,M,G,NIGERIA,2009,794,9605,8812,HIV-1
41,P0962_ARP1077,32944,JX140674,DEMG05ES001,PLV,HIV-1,M,G,SPAIN,2005,588,9600,9051,HIV-1
42,X2634_ARP1110,37139,JX140675,DEMG09ES002,PLV,HIV-1,M,G,SPAIN,2009,633,9603,9034,HIV-1
43,CMP027,51278,JX140676,DEMG10CM008,PLV,HIV-1,M,G,CAMEROON,2010,636,9596,8979,HIV-1
44,00C210063,61401,KF716477,DEMG09KE001,PLV,HIV-1,M,G,KENYA,2009,637,9590,9001,HIV-1
45,TV546,27795,KJ948662,TV546,PLV,HIV-1,M,G,SOUTH AFRICA,2001,796,8795,8003,HIV-1
46,CM020,99410,KP109502,DEURF10CM020,PLV,HIV-1,M,G,CAMEROON,2010,662,9595,9005,HIV-1
47,740_10,89940,KP718915,740-14,PLV,HIV-1,M,G,CAMEROON,2006,623,9514,8898,HIV-1
48,920_49,89939,KP718923,920-49,PLV,HIV-1,M,G,CAMEROON,2007,622,9471,8855,HIV-1
49,789_10,89959,KP718925,789-10,PLV,HIV-1,M,G,CAMEROON,2008,556,9602,9034,HIV-1
50,B1177,51770,KR017776,BS48,PLV,HIV-1,M,G,CAMEROON,2007,790,9417,8616,HIV-1
51,,,KT022379,06KE275457V6,PLV,HIV-1,M,G,KENYA,2006,789,9496,8764,HIV-1
52,ARP1201,82784,KT276261,ARP1201,PLV,HIV-1,M,G,SPAIN,2014,557,9525,9104,HIV-1
53,LiEd,87944,KU168277,LA23LiEd,PLV,HIV-1,M,G,DEM REP OF CONGO,2003,1,9719,9711,HIV-1
54,HoCe,87947,KU168278,LA24HoCe,PLV,HIV-1,M,G,,2003,86,9709,9687,HIV-1
55,LmNe,87936,KU168300,LA57LmNe,PLV,HIV-1,M,G,GUINEA-BISSAU,2008,2,9719,9767,HIV-1
56,44_10,87425,KU168302,CM44-10,PLV,HIV-1,M,G,CAMEROON,2003,1,9637,9706,HIV-1
57,EUR0033,89082,KU685592,EUR-0033,PLV,HIV-1,M,G,SPAIN,2014,602,9423,8894,HIV-1
58,X2634_ARP1110,37139,KX228801,Read1_HIV_G,PLV,HIV-1,M,G,SPAIN,2009,561,9582,8957,HIV-1
59,P0962_ARP1077,32944,KX228812,Read32_HIV_G,PLV,HIV-1,M,G,SPAIN,2005,561,9581,8991,HIV-1
60,20420,93441,KX389615,10NG020420,PLV,HIV-1,M,G,NIGERIA,2010,789,9461,8711,HIV-1
61,20303,93427,KX389618,10NG020303,PLV,HIV-1,M,G,NIGERIA,2010,789,9499,8718,HIV-1
62,20134,93435,KX389619,10NG020134,PLV,HIV-1,M,G,NIGERIA,2010,789,9496,8706,HIV-1
63,20133,93434,KX389620,10NG020133,PLV,HIV-1,M,G,NIGERIA,2010,789,9499,8711,HIV-1
64,10315,93409,KX389625,09NG010315,PLV,HIV-1,M,G,NIGERIA,2009,789,9496,8661,HIV-1
65,10261,93414,KX389626,09NG010261,PLV,HIV-1,M,G,NIGERIA,2009,789,9499,8684,HIV-1
66,10205,93436,KX389628,09NG010205,PLV,HIV-1,M,G,NIGERIA,2009,789,9499,8759,HIV-1
67,10157,93411,KX389631,09NG010157,PLV,HIV-1,M,G,NIGERIA,2009,789,9499,8761,HIV-1
68,10105,93432,KX389635,09NG010105,PLV,HIV-1,M,G,NIGERIA,2009,789,9496,8716,HIV-1
69,10079,93412,KX389636,09NG010079,PLV,HIV-1,M,G,NIGERIA,2009,789,9521,8676,HIV-1
70,50158,93438,KX389641,11NG050158,PLV,HIV-1,M,G,NIGERIA,2011,789,9604,8866,HIV-1
71,50272,93413,KX389642,11NG050272,PLV,HIV-1,M,G,NIGERIA,2011,789,9604,8857,HIV-1
72,50489,93450,KX389645,11NG050489,PLV,HIV-1,M,G,NIGERIA,2011,789,9605,8927,HIV-1
73,60248,93426,KX389646,12NG060248,PLV,HIV-1,M,G,NIGERIA,2012,789,9604,8844,HIV-1
74,60409,93417,KX389648,12NG060409,PLV,HIV-1,M,G,NIGERIA,2012,789,9605,8884,HIV-1
75,,,KY275364,224GX,PLV,HIV-1,M,G,CHINA,2016,777,9577,8847,HIV-1
76,316421,108152,KY953200,DEMG11NG006,PLV,HIV-1,M,G,NIGERIA,2011,536,9629,9002,HIV-1
77,316527,108155,KY953201,DEMG11NG007,PLV,HIV-1,M,G,NIGERIA,2011,573,9698,9197,HIV-1
78,316530,108153,KY953202,DEMG11NG008,PLV,HIV-1,M,G,NIGERIA,2011,682,9601,8950,HIV-1
79,,,MF109568,14592_1_74.4,PLV,HIV-1,M,G,UNITED KINGDOM,2014,790,9405,8439,HIV-1
80,,,MF109598,14667_1_38.4,PLV,HIV-1,M,G,UNITED KINGDOM,2014,790,9405,8412,HIV-1
81,,,MF109647,15171_1_17.3,PLV,HIV-1,M,G,UNITED KINGDOM,2013,790,9405,8430,HIV-1
82,P2196,105031,MF157743,P2196_3s_nt0558_9495,PLV,HIV-1,M,G,SPAIN,2009,558,9495,8977,HIV-1
83,ShRMT,112207,MF614605,RU_ShRMT_1989,PLV,HIV-1,M,G,RUSSIAN FEDERATION,1989,704,9563,8897,HIV-1
84,SRD,112216,MF614606,RU_SRD_2012,PLV,HIV-1,M,G,RUSSIAN FEDERATION,2012,704,9563,8993,HIV-1
85,SRD,112216,MF614607,RU_SRD_2014,PLV,HIV-1,M,G,RUSSIAN FEDERATION,2014,704,9563,8981,HIV-1
86,GZ8H3748,112774,MH431770,GZ8H3748.13,PLV,HIV-1,M,G,CHINA,2013,772,9603,8861,HIV-1
87,,,MH705134,PBS1191,PLV,HIV-1,M,G,DEM REP OF CONGO,1987,1,9719,9792,HIV-1
88,,,MH705145,144-26,PLV,HIV-1,M,G,CAMEROON,2005,1,9719,9749,HIV-1
89,,,MH705155,P406,PLV,HIV-1,M,G,DEM REP OF CONGO,1987,1,9633,9675,HIV-1
90,,,MH705162,87-2580,PLV,HIV-1,M,G,DEM REP OF CONGO,1987,1,9609,9657,HIV-1
91,,,MH746255,V_09_011,PLV,HIV-1,M,G,BULGARIA,2009,789,9604,8884,HIV-1
92,,,MK254637,10818,PLV,HIV-1,M,G,CHINA,2016,658,9696,9145,HIV-1
93,,,MK254639,9835,PLV,HIV-1,M,G,CHINA,2016,667,9550,8888,HIV-1
94,NG083,13804,U88826,92NG083_JV10832,PLV,HIV-1,M,G,NIGERIA,1992,630,9635,8987,HIV-1
