#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Country,Sample_year,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
73,SC24,44230,JN248585,09NG_SC24,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,794,9604,8828,HIV-1
74,SC29,44238,JN248589,09NG_SC29,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,794,9604,8779,HIV-1
75,SC30,44232,JN248590,09NG_SC30,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,794,9604,8811,HIV-1
76,SC61,44231,JN248592,09NG_SC61,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,794,9604,8807,HIV-1
77,MHI,2751,JQ316136,07MHI10,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2007,297,9458,9157,HIV-1
78,MHI,2751,JQ316137,04MHI10,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2004,297,9458,9154,HIV-1
79,MHI,2751,JQ316138,08MHI11,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2008,450,9461,9001,HIV-1
80,P1423_ARP1081,32945,JX140645,DE00206AO001,PLV,HIV-1,M,CRF02_AG,SPAIN,2006,638,9597,8999,HIV-1
81,CMP013,51311,JX140646,DE00208CM001,PLV,HIV-1,M,CRF02_AG,CAMEROON,2008,633,9594,9079,HIV-1
82,CMP029,51307,JX140647,DE00208CM004,PLV,HIV-1,M,CRF02_AG,CAMEROON,2008,640,9601,9030,HIV-1
83,MHR,10237,KF561435,12MHR9,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2012,350,9417,9166,HIV-1
84,MHI,2751,KF561436,12MHI11-10745,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2012,343,9455,9133,HIV-1
85,MHI,2751,KF561437,12MHI11-10746,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2012,345,9455,9158,HIV-1
86,MHI,2751,KF561438,13MHI6-11621,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2013,343,9460,9132,HIV-1
87,MHI,2751,KF561439,13MHI6-11622,PLV,HIV-1,M,CRF02_AG,SOUTH KOREA,2013,331,9424,9111,HIV-1
88,CMP031,51823,KF859739,DE00210CM013,PLV,HIV-1,M,CRF02_AG,CAMEROON,2010,629,9604,9140,HIV-1
89,SE602019,84590,KP411843,SE602019,PLV,HIV-1,M,CRF02_AG,SWEDEN,2011,790,9519,8710,HIV-1
90,SE602020,84593,KP411844,SE602020,PLV,HIV-1,M,CRF02_AG,SWEDEN,2011,790,9529,8703,HIV-1
91,SE602024,84582,KP411845,SE602024,PLV,HIV-1,M,CRF02_AG,SWEDEN,2011,790,9526,8761,HIV-1
92,701114,89875,KT124792,701114,PLV,HIV-1,M,CRF02_AG,GERMANY,2009,790,9414,8706,HIV-1
93,,,KT223760,9580,PLV,HIV-1,M,CRF02_AG,SENEGAL,2013,639,9414,8833,HIV-1
94,GuVa,87930,KU168265,LA10GuVa,PLV,HIV-1,M,CRF02_AG,CAMEROON,2000,7,9640,9663,HIV-1
95,ZaCh,87929,KU168266,LA11ZaCh,PLV,HIV-1,M,CRF02_AG,,2000,1,9640,9670,HIV-1
96,FroG,87932,KU168267,LA12FroG,PLV,HIV-1,M,CRF02_AG,,2000,5,9719,9783,HIV-1
97,,,KU168310,CM100-17,PLV,HIV-1,M,CRF02_AG,CAMEROON,2007,1,9666,9685,HIV-1
98,LB037,66159,KU749419,DE00210CM019,PLV,HIV-1,M,CRF02_AG,CAMEROON,2010,639,9608,8934,HIV-1
99,,,KX228814,Read34_HIV_CRFCRF02_AG,PLV,HIV-1,M,CRF02_AG,ANGOLA,2006,796,9513,8619,HIV-1
100,,,KX228823,Read7_HIV_CRFCRF02_AG,PLV,HIV-1,M,CRF02_AG,CAMEROON,2008,796,9521,8644,HIV-1
101,,,KX228824,Read8_HIV_CRFCRF02_AG,PLV,HIV-1,M,CRF02_AG,CAMEROON,2008,796,9521,8624,HIV-1
102,PK024,101862,KX232616,PK024,PLV,HIV-1,M,CRF02_AG,PAKISTAN,2015,570,9641,9072,HIV-1
103,PK032,101866,KX232622,PK032,PLV,HIV-1,M,CRF02_AG,PAKISTAN,2015,432,9638,9267,HIV-1
104,PK035,101844,KX232625,PK035,PLV,HIV-1,M,CRF02_AG,PAKISTAN,2015,541,9639,9094,HIV-1
105,30161,93416,KX389610,10NG030161,PLV,HIV-1,M,CRF02_AG,NIGERIA,2010,789,9496,8735,HIV-1
106,20437,93428,KX389614,10NG020437,PLV,HIV-1,M,CRF02_AG,NIGERIA,2010,789,9496,8718,HIV-1
107,20307,93448,KX389617,10NG020307,PLV,HIV-1,M,CRF02_AG,NIGERIA,2010,789,9499,8798,HIV-1
108,20065,93421,KX389621,10NG020065,PLV,HIV-1,M,CRF02_AG,NIGERIA,2010,789,9496,8779,HIV-1
109,10325,93446,KX389624,09NG010325,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,789,9496,8679,HIV-1
110,10181,93439,KX389629,09NG010181,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,789,9496,8791,HIV-1
111,10170,93443,KX389630,09NG010170,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,789,9496,8718,HIV-1
112,10060,93422,KX389639,09NG010060,PLV,HIV-1,M,CRF02_AG,NIGERIA,2009,789,9496,8705,HIV-1
113,50135,93419,KX389640,11NG050135,PLV,HIV-1,M,CRF02_AG,NIGERIA,2011,789,9604,8797,HIV-1
114,50356,93437,KX389643,11NG050356,PLV,HIV-1,M,CRF02_AG,NIGERIA,2011,789,9496,8708,HIV-1
115,50366,93420,KX389644,11NG050366,PLV,HIV-1,M,CRF02_AG,NIGERIA,2011,789,9604,8797,HIV-1
116,60304,93445,KX389647,12NG060304,PLV,HIV-1,M,CRF02_AG,NIGERIA,2012,789,9496,8742,HIV-1
117,60418,93440,KX389649,12NG060418,PLV,HIV-1,M,CRF02_AG,NIGERIA,2012,789,9505,8702,HIV-1
118,PK035,101844,KY658712,DE00215PK035,PLV,HIV-1,M,CRF02_AG,PAKISTAN,2015,25,9635,9620,HIV-1
119,316585,108151,KY953197,DE00211NG009,PLV,HIV-1,M,CRF02_AG,NIGERIA,2011,8,9597,9527,HIV-1
120,316590,108154,KY953198,DE00211NG010,PLV,HIV-1,M,CRF02_AG,NIGERIA,2011,639,9599,9004,HIV-1
121,100593,103881,KY989950,100593,PLV,HIV-1,M,CRF02_AG,SPAIN,2014,571,9509,8963,HIV-1
122,IbNG,64,L39106,IBNG,PLV,HIV-1,M,CRF02_AG,NIGERIA,,472,9673,9201,HIV-1
123,,,MF109381,13592_1_38.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2013,790,9411,8408,HIV-1
124,,,MF109432,13612_1_7.4,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2014,790,9405,8424,HIV-1
125,,,MF109439,13659_1_50.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2014,790,9405,8410,HIV-1
126,,,MF109547,14592_1_53.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2014,790,9405,8424,HIV-1
127,,,MF109550,14592_1_56.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2014,790,9413,8405,HIV-1
128,,,MF109559,14592_1_65.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2014,790,9405,8420,HIV-1
129,,,MF109572,14592_1_78.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2014,790,9420,8411,HIV-1
130,,,MF109657,15171_1_26.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2013,790,9405,8404,HIV-1
131,,,MF109708,15228_1_70.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2013,790,9405,8433,HIV-1
132,,,MF109709,15228_1_71.3,PLV,HIV-1,M,CRF02_AG,UNITED KINGDOM,2013,790,9405,8403,HIV-1
133,R74,105029,MF157740,R74_s_nt0545_9481,PLV,HIV-1,M,CRF02_AG,SPAIN,1999,545,9481,8990,HIV-1
134,P2222,105030,MF157742,P2222_2s_nt0547_9473,PLV,HIV-1,M,CRF02_AG,SPAIN,2009,547,9473,8965,HIV-1
135,pt098,104881,MF373200,098GN,PLV,HIV-1,M,CRF02_AG,SWEDEN,2014,790,9555,8745,HIV-1
136,CU313-2324-18,112630,MH078536,DE00216CI019,PLV,HIV-1,M,CRF02_AG,COTE D'IVOIRE,2016,640,9673,9012,HIV-1
137,CU313-2324-10,112651,MH078538,DEURF16CI011,PLV,HIV-1,M,CRF02_AG,COTE D'IVOIRE,2016,639,9609,9013,HIV-1
138,CU313-2324-21,112636,MH078539,DEURF16CI022,PLV,HIV-1,M,CRF02_AG,COTE D'IVOIRE,2016,685,9597,8953,HIV-1
139,7063,112643,MH078541,DE00214GW002,PLV,HIV-1,M,CRF02_AG,GUINEA-BISSAU,2014,641,9605,8990,HIV-1
140,7042,112626,MH078542,DE00214GW005,PLV,HIV-1,M,CRF02_AG,GUINEA-BISSAU,2014,632,9605,8982,HIV-1
141,6958,112625,MH078543,DE00214GW007,PLV,HIV-1,M,CRF02_AG,GUINEA-BISSAU,2014,639,9610,9015,HIV-1
142,6982,112635,MH078544,DE00214GW009,PLV,HIV-1,M,CRF02_AG,GUINEA-BISSAU,2014,634,9612,9010,HIV-1
143,6905,112655,MH078545,DE00214GW020,PLV,HIV-1,M,CRF02_AG,GUINEA-BISSAU,2014,574,9607,9134,HIV-1
144,,,MH705136,459-16,PLV,HIV-1,M,CRF02_AG,CAMEROON,2004,1,9719,9744,HIV-1
