#,Patient Code,PAT id(SSAM),Accession,Name,Species-group,Species,Group,Subtype,Sampling Year,Country,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
43,,,AF457086,MSA4079,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
44,,,AF457089,NKU3005,PLV,HIV-1,M,A1,2000,KE,,,,HIV-1
45,,,AF484478,99UGA07072,PLV,HIV-1,M,A1,1999,UG,,,,HIV-1
46,,,AF484493,99UGG03379,PLV,HIV-1,M,A1,1999,UG,,,,HIV-1
47,,,AF484507,98UG57134,PLV,HIV-1,M,A1,1998,UG,,,,HIV-1
48,,,AF484508,98UG57135,PLV,HIV-1,M,A1,1998,UG,,,,HIV-1
49,,,AF484509,98UG57136,PLV,HIV-1,M,A1,1998,UG,,,,HIV-1
50,,,AF484512,98UG57142,PLV,HIV-1,M,A1,1998,UG,,,,HIV-1
51,,,AF539405,ML170_1986,PLV,HIV-1,M,A1,1986,KE,,,,HIV-1
52,,,AM000053,97CD_KCC2,PLV,HIV-1,M,A4,1997,CD,,,,HIV-1
53,,,AM000054,97CD_KTB13,PLV,HIV-1,M,A4,1997,CD,,,,HIV-1
54,,,AM000055,02CD_KTB035,PLV,HIV-1,M,A4,2002,CD,,,,HIV-1
55,,,AY253305,A173,PLV,HIV-1,M,A1,2001,TZ,,,,HIV-1
56,,,AY253314,A341,PLV,HIV-1,M,A1,2001,TZ,,,,HIV-1
57,,,AY322184,ML013_10,PLV,HIV-1,M,A1,1986,KE,,,,HIV-1
58,,,AY322185,ML013_2,PLV,HIV-1,M,A1,1997,KE,,,,HIV-1
59,,,AY322190,ML605_3,PLV,HIV-1,M,A1,1997,KE,,,,HIV-1
60,,,AY322193,ML752,PLV,HIV-1,M,A1,1997,KE,,,,HIV-1
61,,,AY500393,03RU20_06_13,PLV,HIV-1,M,A1,2003,RU,,,,HIV-1
62,,,AY521629,DDI579,PLV,HIV-1,M,A1,2001,SN,,,,HIV-1
63,,,AY521630,DDJ360,PLV,HIV-1,M,A4,1996,SN,,,,HIV-1
64,,,AY521631,DDJ369,PLV,HIV-1,M,A4,2001,SN,,,,HIV-1
65,,,AY713406,93RW_024,PLV,HIV-1,M,A4,1993,RW,,,,HIV-1
66,,,AY713407,92UG_029,PLV,HIV-1,M,A1,1992,UG,,,,HIV-1
67,,,AY829203,02UZ652,PLV,HIV-1,M,A1,2002,UZ,,,,HIV-1
68,,,AY829205,02UZ694,PLV,HIV-1,M,A1,2002,UZ,,,,HIV-1
69,,,AY829206,02UZ698,PLV,HIV-1,M,A1,2002,UZ,,,,HIV-1
70,,,AY829208,02UZ740,PLV,HIV-1,M,A1,2002,UZ,,,,HIV-1
71,,,AY829209,02UZ0659,PLV,HIV-1,M,A1,2002,UZ,,,,HIV-1
72,,,AY829210,02UZ0663,PLV,HIV-1,M,A1,2002,UZ,,,,HIV-1
73,,,AY829212,02UZ0672,PLV,HIV-1,M,A1,2002,UZ,,,,HIV-1
74,,,DQ207944,99GEMZ011,PLV,HIV-1,M,A4,1999,GE,,,,HIV-1
75,,,DQ396400,04ZASK162B1,PLV,HIV-1,M,A4,2004,ZA,,,,HIV-1
76,,,DQ676872,PS1044_Day0,PLV,HIV-1,M,A4,2003,AU,,,,HIV-1
77,,,DQ676873,PS1044_Day177,PLV,HIV-1,M,A1,2004,AU,,,,HIV-1
78,,,DQ823356,01UAPol294,PLV,HIV-1,M,A1,2001,UA,,,,HIV-1
79,,,DQ823357,01UADN139,PLV,HIV-1,M,A1,2001,UA,,,,HIV-1
80,,,DQ823358,01UADN121,PLV,HIV-1,M,A1,2001,UA,,,,HIV-1
81,,,DQ823359,01UAPol293,PLV,HIV-1,M,A1,2001,UA,,,,HIV-1
82,,,DQ823360,01UAPol303,PLV,HIV-1,M,A1,2001,UA,,,,HIV-1
83,,,DQ823361,01UAKV254,PLV,HIV-1,M,A1,2001,UA,,,,HIV-1
84,,,DQ823365,01UAOD10,PLV,HIV-1,M,A1,2001,UA,,,,HIV-1
85,,,DQ823366,01UAOD35,PLV,HIV-1,M,A4,2001,UA,,,,HIV-1
86,,,DQ823367,01UAOD89,PLV,HIV-1,M,A4,2001,UA,,,,HIV-1
87,,,EF545108,RU00051,PLV,HIV-1,M,A4,2000,RU,,,,HIV-1
88,,,EF589039,02KZPAV300497,PLV,HIV-1,M,A1,2002,KZ,,,,HIV-1
89,,,EF589040,02KZYUZ300413,PLV,HIV-1,M,A1,2002,KZ,,,,HIV-1
90,,,EF589041,02KZYUZ300425,PLV,HIV-1,M,A1,2002,KZ,,,,HIV-1
91,,,EF589042,02KZKAR300435,PLV,HIV-1,M,A1,2002,KZ,,,,HIV-1
92,,,EF589043,02KZPAV300480,PLV,HIV-1,M,A1,2002,KZ,,,,HIV-1
93,,,EF589044,02KZPAV300502,PLV,HIV-1,M,A1,2002,KZ,,,,HIV-1
94,,,EU110085,ML752,PLV,HIV-1,M,A1,2001,KE,,,,HIV-1
95,,,EU110087,ML1901,PLV,HIV-1,M,A1,2001,KE,,,,HIV-1
96,,,EU110088,ML1945,PLV,HIV-1,M,A4,2001,KE,,,,HIV-1
97,,,EU110092,ML1990,PLV,HIV-1,M,A4,2002,KE,,,,HIV-1
98,,,EU110094,ML2014,PLV,HIV-1,M,A4,2002,KE,,,,HIV-1
99,,,EU110095,ML1901PCR2,PLV,HIV-1,M,A1,2001,KE,,,,HIV-1
100,,,EU110097,ML1990PCR,PLV,HIV-1,M,A1,2002,KE,,,,HIV-1
101,,,EU861977,60000,PLV,HIV-1,M,A1,2002,IT,,,,HIV-1
102,,,FJ388892,CY021,PLV,HIV-1,M,A1,2005,CY,,,,HIV-1
103,,,FJ388893,CY022,PLV,HIV-1,M,A1,2005,CY,,,,HIV-1
104,,,FJ388894,CY023,PLV,HIV-1,M,A1,2005,CY,,,,HIV-1
105,,,FJ388903,CY051,PLV,HIV-1,M,A1,2005,CY,,,,HIV-1
106,,,FJ388906,CY057,PLV,HIV-1,M,A1,2005,CY,,,,HIV-1
107,,,FJ388909,CY064,PLV,HIV-1,M,A4,2005,CY,,,,HIV-1
108,,,FJ388925,CY106,PLV,HIV-1,M,A4,2005,CY,,,,HIV-1
109,,,FJ388932,CY121,PLV,HIV-1,M,A4,2005,CY,,,,HIV-1
110,,,FJ388938,CY140,PLV,HIV-1,M,A1,2005,CY,,,,HIV-1
111,,,FJ388942,CY153,PLV,HIV-1,M,A1,2005,CY,,,,HIV-1
112,,,FJ388943,CY154,PLV,HIV-1,M,A1,2006,CY,,,,HIV-1
113,,,FJ388946,CY164,PLV,HIV-1,M,A1,2006,CY,,,,HIV-1
114,,,FJ388950,CY171,PLV,HIV-1,M,A1,2006,CY,,,,HIV-1
115,,,FJ388951,CY173,PLV,HIV-1,M,A1,2006,CY,,,,HIV-1
116,,,FJ623475,06KECst_006,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
117,,,FJ623476,06KECst_007,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
118,,,FJ623477,06KECst_021,PLV,HIV-1,M,A4,2006,KE,,,,HIV-1
119,,,FJ623478,06KECst_019,PLV,HIV-1,M,A4,2006,KE,,,,HIV-1
120,,,FJ623479,06KECst_028,PLV,HIV-1,M,A4,2006,KE,,,,HIV-1
121,,,FJ623480,06KECst_009,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
122,,,FJ623481,06KECst_005,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
123,,,FJ623482,06KECst_020,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
124,,,FJ623483,06KECst_016,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
125,,,FJ623484,06KECst_022,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
126,,,FJ623485,06KECst_013,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
127,,,FJ623486,06KECst_025,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
128,,,FJ623487,06KECst_001,PLV,HIV-1,M,A1,2006,KE,,,,HIV-1
129,,,FJ623488,06KECst_017,PLV,HIV-1,M,A4,2006,KE,,,,HIV-1
130,,,FJ670519,X1608-8,PLV,HIV-1,M,A4,2005,ES,,,,HIV-1
131,,,FJ670523,X2110,PLV,HIV-1,M,A4,2006,ES,,,,HIV-1
132,,,FJ864679,PokA1Ru,PLV,HIV-1,M,A1,2008,RU,,,,HIV-1
133,,,GU201516,01CM_1445MV,PLV,HIV-1,M,A1,2001,CM,,,,HIV-1
134,,,JF683737,CY182,PLV,HIV-1,M,A1,2007,CY,,,,HIV-1
135,,,JF683759,CY207,PLV,HIV-1,M,A1,2007,CY,,,,HIV-1
136,,,JF683760,CY208,PLV,HIV-1,M,A1,2007,CY,,,,HIV-1
137,,,JF683761,CY209,PLV,HIV-1,M,A1,2007,CY,,,,HIV-1
138,,,JF683763,CY213,PLV,HIV-1,M,A1,2007,CY,,,,HIV-1
139,,,JF683767,CY218,PLV,HIV-1,M,A1,2008,CY,,,,HIV-1
140,,,JF683779,CY230,PLV,HIV-1,M,A4,2008,CY,,,,HIV-1
141,,,JF683780,CY231,PLV,HIV-1,M,A4,2008,CY,,,,HIV-1
142,,,JF683782,CY235,PLV,HIV-1,M,A4,2008,CY,,,,HIV-1
143,,,JF683783,CY236,PLV,HIV-1,M,A1,2008,CY,,,,HIV-1
144,,,JF683789,CY243,PLV,HIV-1,M,A1,2009,CY,,,,HIV-1
145,,,JF683798,CY255,PLV,HIV-1,M,A1,2009,CY,,,,HIV-1
146,,,JQ292891,Irkutsk_5,PLV,HIV-1,M,A1,2007,RU,,,,HIV-1
147,,,JQ292892,RU01029,PLV,HIV-1,M,A1,2002,RU,,,,HIV-1
148,,,JQ292893,RUA001,PLV,HIV-1,M,A1,2008,RU,,,,HIV-1
149,,,JQ292894,RUA007,PLV,HIV-1,M,A1,2008,RU,,,,HIV-1
150,,,JQ292895,RU_560_1125_JA,PLV,HIV-1,M,A1,2005,RU,,,,HIV-1
151,,,JQ292896,RU_915_1016,PLV,HIV-1,M,A4,2006,RU,,,,HIV-1
152,,,JQ292897,RU_915_1035,PLV,HIV-1,M,A4,2006,RU,,,,HIV-1
153,,,JQ292898,RU_915_1038,PLV,HIV-1,M,A4,2006,RU,,,,HIV-1
154,,,JQ292899,RU_915_1041,PLV,HIV-1,M,A1,2006,RU,,,,HIV-1
155,,,JQ292900,RU_SP_B_049,PLV,HIV-1,M,A1,2006,RU,,,,HIV-1
156,,,JQ403028,HIV_CH_BID-V3538_2003,PLV,HIV-1,M,A1,2003,CH,,,,HIV-1
157,,,JX140650,DEMA105TZ001,PLV,HIV-1,M,A1,2005,ES,,,,HIV-1
158,,,JX140651,DEMA106ES002,PLV,HIV-1,M,A1,2006,ES,,,,HIV-1
159,,,JX236669,p191084,PLV,HIV-1,M,A1,2007,UG,,,,HIV-1
160,,,JX236671,p191845,PLV,HIV-1,M,A1,2007,UG,,,,HIV-1
161,,,JX236676,p9004SDM,PLV,HIV-1,M,A1,2007,UG,,,,HIV-1
162,,,JX236677,pR463F,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
163,,,JX236678,pR880F,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
164,,,JX500694,11RU6950,PLV,HIV-1,M,A4,2011,RU,,,,HIV-1
165,,,JX500695,10RU6792,PLV,HIV-1,M,A1,2010,RU,,,,HIV-1
166,,,JX500696,10RU6617,PLV,HIV-1,M,A1,2010,RU,,,,HIV-1
167,,,KC596070,DEMA07UG005,PLV,HIV-1,M,A1,2007,UG,,,,HIV-1
168,,,KF716472,DEMA111RW002,PLV,HIV-1,M,A1,2011,RW,,,,HIV-1
169,,,KF716474,DEMA111KE002,PLV,HIV-1,M,A1,2011,KE,,,,HIV-1
170,,,KF716475,DEMA11KE001,PLV,HIV-1,M,A1,2011,KE,,,,HIV-1
171,,,KF716478,DEMA109UG001,PLV,HIV-1,M,A1,2009,UG,,,,HIV-1
172,,,KF716486,DEMA110UG009,PLV,HIV-1,M,A1,2011,UG,,,,HIV-1
173,,,KF716491,DEMA108RU003,PLV,HIV-1,M,A4,2008,RU,,,,HIV-1
174,,,KF716492,DEMA108RU004,PLV,HIV-1,M,A4,2008,RU,,,,HIV-1
175,,,KF716499,DEMA03RW001,PLV,HIV-1,M,A4,2003,RW,,,,HIV-1
176,,,KF716500,DEMA03UG002,PLV,HIV-1,M,A1,2007,UG,,,,HIV-1
177,,,KF859745,DEMA110UG001,PLV,HIV-1,M,A1,2011,UG,,,,HIV-1
178,,,KJ190253,R463F_030907_FL28,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
179,,,KJ190254,R463F_030907_FL39,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
180,,,KJ190256,R463F_030907_FL49,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
181,,,KJ190257,R463F_030907_FL55,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
182,,,KJ190258,R463F_030907_FL64,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
183,,,KJ190259,R463F_030907_FL65,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
184,,,KJ190260,R463F_030907_FL70,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
185,,,KJ190261,R463F_030907_FL71,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
186,,,KJ190262,R463F_030907_FL74,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
187,,,KJ190263,R880FPB_A17,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
188,,,KJ190264,R880FPB_A18,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
189,,,KJ190265,R880FPB_A2,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
190,,,KJ190266,R880FPB_A22,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
191,,,KJ190267,R880FPB_A7,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
192,,,KJ190268,R880FPB_D12,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
193,,,KJ190269,R880FPL_A6,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
194,,,KJ190270,R880FPL_A7,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
195,,,KJ190271,R880FPL_A9,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
196,,,KJ190273,R880FPL_B24,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
197,,,KJ190274,R880FPL_C12,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
198,,,KJ948658,TV096,PLV,HIV-1,M,A1,2000,ZA,,,,HIV-1
199,,,KP109490,DEMA109UG017,PLV,HIV-1,M,A1,2009,UG,,,,HIV-1
200,,,KP109528,DEMA07RW002,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
201,,,KP223729,R463FPB_d19_C13,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
202,,,KP223730,R463FPB_d19_C23,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
203,,,KP223731,R463FPB_d19_C26,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
204,,,KP223732,R463FPB_d19_C7,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
205,,,KP223733,R463FPL_d179_A21,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
206,,,KP223734,R463FPL_d179_A9,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
207,,,KP223735,R463FPL_d179_B11,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
208,,,KP223736,R463FPL_d179_B24,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
209,,,KP223737,R463FPL_d179_B28,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
210,,,KP223738,R463FPL_d179_C19,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
211,,,KP223739,R463FPL_d179_C22,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
212,,,KP223740,R463FPL_d179_C4,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
213,,,KP223741,R463FPL_d19_C25,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
214,,,KP223742,R463FPL_d19_C9,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
215,,,KP223743,R463FPL_d19_E17,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
216,,,KP223744,R463FPL_d19_E20,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
217,,,KP223745,R463FPL_d19_E31,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
218,,,KP223746,R463FPL_d19_E35,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
219,,,KP223747,R463FPL_d19_E42,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
220,,,KP223748,R463FPL_d19_E43,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
221,,,KP223749,R463FPL_d19_E44,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
222,,,KP223750,R463FPL_d19_E58,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
223,,,KP223751,R463FPL_d248_C1,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
224,,,KP223752,R463FPL_d248_C10,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
225,,,KP223753,R463FPL_d248_C11,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
226,,,KP223754,R463FPL_d248_C18,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
227,,,KP223755,R463FPL_d248_C5,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
228,,,KP223756,R463FPL_d248_D10,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
229,,,KP223757,R463FPL_d248_D20,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
230,,,KP223758,R463FPL_d248_D5,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
231,,,KP223759,R463FPL_d333_A9,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
232,,,KP223760,R463FPL_d333_B16,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
233,,,KP223761,R463FPL_d333_B2,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
234,,,KP223762,R463FPL_d333_B29,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
235,,,KP223763,R463FPL_d333_B30,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
236,,,KP223765,R463FPL_d333_B4,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
237,,,KP223766,R463FPL_d333_B60,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
238,,,KP223767,R463FPL_d333_B8,PLV,HIV-1,M,A1,2008,RW,,,,HIV-1
239,,,KP223768,R463FPL_d60_A10,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
240,,,KP223769,R463FPL_d60_A15,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
241,,,KP223770,R463FPL_d60_A28,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
242,,,KP223771,R463FPL_d60_A3,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
243,,,KP223772,R463FPL_d60_A31,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
244,,,KP223773,R463FPL_d60_A32,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
245,,,KP223774,R463FPL_d60_B10,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
246,,,KP223775,R463FPL_d60_B30,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
247,,,KP223776,R463MPL_A11,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
248,,,KP223777,R463MPL_C1,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
249,,,KP223778,R463MPL_D6,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
250,,,KP223779,R463MPL_I17,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
251,,,KP223780,R463MPL_I25,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
252,,,KP223781,R463MPL_I32,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
253,,,KP223797,R880FPL_d157_A12,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
254,,,KP223799,R880FPL_d157_B8,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
255,,,KP223815,R880FPL_d241_A23,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
256,,,KP223835,R880FPL_d73_A23,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
257,,,KP223836,R880FPL_d73_A24,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
258,,,KP223837,R880FPL_d73_A3,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
259,,,KP223838,R880FPL_d73_A9,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
260,,,KP223839,R880FPL_d73_B1,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
261,,,KP223840,R880FPL_d73_B12,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
262,,,KP223841,R880FPL_d73_B18,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
263,,,KP223842,R880FPL_d73_B31,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
264,,,KP223843,R880FPL_d73_B4,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
265,,,KP223844,R880_MPL_C11,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
266,,,KP223845,R880_MPL_D2,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
267,,,KP223846,R880_MPL_E17,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
268,,,KP223847,R880_MPL_F5,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
269,,,KP223848,R880_MPL_F53,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
270,,,KP223849,R880_MPL_F59,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
271,,,KP223850,R880_MPL_F62,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
272,,,KP223851,R880_MPL_G33,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
273,,,KP223852,R880_MPL_G58,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
274,,,KP223853,R880_MPL_G59,PLV,HIV-1,M,A4,2007,RW,,,,HIV-1
275,,,KP223854,R880_MPL_H29,PLV,HIV-1,M,A1,2007,RW,,,,HIV-1
276,,,KP718918,46-10,PLV,HIV-1,M,A1,2007,CM,,,,HIV-1
277,,,KP718928,886-24,PLV,HIV-1,M,A1,2008,CM,,,,HIV-1
278,,,KT022360,04KE169579V3,PLV,HIV-1,M,A1,2004,KE,,,,HIV-1
279,,,KT022361,04KE263806V2,PLV,HIV-1,M,A1,2004,KE,,,,HIV-1
280,,,KT022363,04KE354207V3,PLV,HIV-1,M,A1,2004,KE,,,,HIV-1
281,,,KT022364,04KE378531V2,PLV,HIV-1,M,A1,2004,KE,,,,HIV-1
282,,,KT022365,04KE406723V2,PLV,HIV-1,M,A1,2004,KE,,,,HIV-1
283,,,KT022367,04KE649309V2,PLV,HIV-1,M,A4,2004,KE,,,,HIV-1
284,,,KT022368,04KE809842V2,PLV,HIV-1,M,A4,2004,KE,,,,HIV-1
285,,,KT022369,04KE860822V3,PLV,HIV-1,M,A4,2004,KE,,,,HIV-1
286,,,KT022370,05KE185405V4,PLV,HIV-1,M,A1,2005,KE,,,,HIV-1
287,,,KT022372,05KE376579V4,PLV,HIV-1,M,A1,2005,KE,,,,HIV-1
288,,,KT022373,05KE520997V4,PLV,HIV-1,M,A1,2005,KE,,,,HIV-1
289,,,KT022374,05KE607907V4,PLV,HIV-1,M,A1,2005,KE,,,,HIV-1
290,,,KT022375,05KE643439V4,PLV,HIV-1,M,A1,2005,KE,,,,HIV-1
291,,,KT022376,05KE851891V4,PLV,HIV-1,M,A1,2005,KE,,,,HIV-1
292,,,KT022377,05KE884468V5,PLV,HIV-1,M,A1,2005,KE,,,,HIV-1
